GeneID,beta_mean,delta_mean,sigma_y_mean,beta_std,delta_std,sigma_y_std
ENSDARG00000060340,0.925,0.3,0.644,0.46,0.166,0.112
ENSDARG00000060345,0.394,0.033,1.06,0.347,0.0833,0.206
ENSDARG00000060348,0.55,0.214,0.614,0.301,0.0975,0.106
ENSDARG00000060349,0.374,0.0173,0.484,0.0808,0.00943,0.0907
ENSDARG00000060350,4.66,0.438,1.56,3.74,0.222,0.243
ENSDARG00000060354,0.528,0.216,0.924,0.465,0.188,0.148
ENSDARG00000060361,0.194,0.0926,0.684,0.138,0.0449,0.112
ENSDARG00000060362,5.58,0.533,0.43,1.3,0.086,0.0796
ENSDARG00000060366,0.754,0.309,0.546,0.264,0.0634,0.0961
ENSDARG00000060368,0.38,0.0219,0.631,0.134,0.0191,0.121
ENSDARG00000060372,0.179,0.0578,0.43,0.108,0.0574,0.0787
ENSDARG00000060374,0.135,0.151,0.332,0.12,0.14,0.0605
ENSDARG00000060380,7.37,0.872,0.429,2.07,0.2,0.0798
ENSDARG00000060383,2.19,0.183,0.375,0.657,0.0379,0.0678
ENSDARG00000060390,3.79,0.375,0.289,0.592,0.0343,0.0559
ENSDARG00000060392,15.2,0.302,0.428,5.86,0.089,0.0806
ENSDARG00000060393,0.0824,0.142,0.385,0.0858,0.193,0.074
ENSDARG00000060394,0.422,0.0784,0.465,0.179,0.0131,0.081
ENSDARG00000060395,1.44,0.142,0.408,0.476,0.0297,0.0727
ENSDARG00000060397,1.02,0.0592,0.562,0.379,0.0333,0.0969
ENSDARG00000060398,0.471,0.142,0.496,0.259,0.0651,0.0855
ENSDARG00000060400,0.0151,0.0171,0.159,0.00602,0.0217,0.0399
ENSDARG00000060410,0.127,0.0818,0.431,0.0543,0.0495,0.0748
ENSDARG00000060411,0.127,0.048,0.583,0.108,0.0253,0.0999
ENSDARG00000060413,0.0604,0.0896,0.333,0.0281,0.0579,0.0612
ENSDARG00000060415,0.543,0.174,0.863,0.487,0.158,0.143
ENSDARG00000060430,0.602,0.156,0.982,0.6,0.136,0.159
ENSDARG00000060434,0.221,0.0166,0.423,0.05,0.00951,0.0801
ENSDARG00000060435,0.41,0.0599,0.495,0.13,0.0312,0.087
ENSDARG00000060438,0.133,0.04,0.329,0.0691,0.00932,0.0611
ENSDARG00000060439,0.688,0.355,0.71,0.521,0.284,0.121
ENSDARG00000060442,0.761,0.0881,0.593,0.458,0.0393,0.0996
ENSDARG00000060445,0.934,0.15,0.505,0.845,0.128,0.0876
ENSDARG00000060452,0.789,0.431,0.518,0.422,0.219,0.0939
ENSDARG00000060457,2.6,0.0278,0.63,0.776,0.0166,0.109
ENSDARG00000060469,0.938,0.115,0.629,0.69,0.0713,0.105
ENSDARG00000060471,0.0709,0.0812,0.284,0.0295,0.0463,0.0531
ENSDARG00000060477,0.336,0.0394,0.35,0.0927,0.0174,0.0647
ENSDARG00000060480,1.51,0.39,0.566,1.09,0.292,0.105
ENSDARG00000060481,0.244,0.0127,0.513,0.0616,0.00932,0.101
ENSDARG00000060482,0.36,0.281,0.625,0.219,0.138,0.104
ENSDARG00000060484,3.96,0.306,0.606,2.85,0.214,0.115
ENSDARG00000060489,2.86,0.0929,0.301,0.625,0.0268,0.0558
ENSDARG00000060494,4.56,0.11,0.411,3.7,0.0888,0.0726
ENSDARG00000060496,0.0656,0.038,0.326,0.0569,0.06,0.0705
ENSDARG00000060498,0.096,0.0348,0.29,0.0263,0.0165,0.0553
ENSDARG00000060500,0.746,0.0991,0.594,0.472,0.0483,0.0996
ENSDARG00000060501,0.296,0.0487,0.507,0.199,0.0142,0.0884
ENSDARG00000060504,0.134,0.0424,0.622,0.135,0.0857,0.131
ENSDARG00000060506,8.91,0.515,0.622,4.54,0.27,0.119
ENSDARG00000060510,23.7,0.432,0.725,11.8,0.223,0.137
ENSDARG00000060512,0.0272,0.00984,0.154,0.0058,0.00667,0.0378
ENSDARG00000060515,1.03,0.091,0.493,0.731,0.088,0.0862
ENSDARG00000060518,0.906,0.0707,0.56,0.462,0.0516,0.0961
ENSDARG00000060521,0.849,0.156,0.483,0.352,0.0461,0.084
ENSDARG00000060522,0.734,0.149,0.543,0.626,0.14,0.0922
ENSDARG00000060526,0.293,0.0413,0.661,0.108,0.0283,0.114
ENSDARG00000060529,0.0624,0.0482,0.378,0.0256,0.0325,0.0692
ENSDARG00000060532,0.156,0.0162,0.458,0.0411,0.0106,0.0882
ENSDARG00000060534,0.123,0.0601,0.301,0.0394,0.029,0.0556
ENSDARG00000060537,0.891,0.0859,0.535,0.696,0.0578,0.0917
ENSDARG00000060539,0.0468,0.0506,0.357,0.0535,0.108,0.0797
ENSDARG00000060542,0.47,0.039,0.586,0.148,0.0208,0.102
ENSDARG00000060549,0.563,0.352,0.501,0.364,0.245,0.0916
ENSDARG00000060551,0.0813,0.111,0.27,0.0815,0.142,0.0525
ENSDARG00000060554,3.05,0.152,0.676,2.44,0.148,0.113
ENSDARG00000060559,0.228,0.0596,0.445,0.109,0.0128,0.0773
ENSDARG00000060564,1.04,0.146,0.728,0.978,0.127,0.121
ENSDARG00000060566,0.0211,0.0148,0.192,0.00918,0.0227,0.0475
ENSDARG00000060569,0.239,0.0131,0.412,0.0487,0.00756,0.0799
ENSDARG00000060578,0.697,0.331,0.969,0.592,0.306,0.156
ENSDARG00000060580,0.856,0.238,0.327,0.264,0.0547,0.0606
ENSDARG00000060584,0.216,0.517,0.496,0.11,0.0421,0.0885
ENSDARG00000060586,1.41,0.0801,0.529,0.941,0.0419,0.0907
ENSDARG00000060594,10.9,0.25,0.717,8.33,0.215,0.122
ENSDARG00000060596,1.95,0.112,0.672,1.78,0.0919,0.11
ENSDARG00000060597,0.0516,0.0153,0.288,0.0134,0.0102,0.0598
ENSDARG00000060600,0.463,0.0959,0.576,0.281,0.0443,0.098
ENSDARG00000060601,0.146,0.0227,0.524,0.0848,0.0378,0.108
ENSDARG00000060609,0.426,0.313,0.657,0.287,0.228,0.111
ENSDARG00000060610,0.304,0.0271,0.576,0.117,0.0235,0.105
ENSDARG00000060618,0.802,0.167,0.232,0.247,0.0411,0.0448
ENSDARG00000060620,1.93,0.398,0.566,1.16,0.239,0.112
ENSDARG00000060622,0.0197,0.0251,0.137,0.00739,0.0177,0.0318
ENSDARG00000060626,0.684,0.083,0.601,0.556,0.088,0.106
ENSDARG00000060627,0.788,0.265,0.69,0.411,0.144,0.123
ENSDARG00000060631,0.0767,0.01,0.238,0.0128,0.00551,0.0508
ENSDARG00000060633,0.781,0.0459,0.684,0.7,0.0257,0.116
ENSDARG00000060637,0.1,0.0269,0.429,0.0736,0.0517,0.092
ENSDARG00000060638,0.0373,0.0236,0.339,0.0242,0.0463,0.078
ENSDARG00000060639,0.765,0.103,1.03,0.678,0.15,0.172
ENSDARG00000060641,0.0303,0.0186,0.241,0.0114,0.0187,0.0534
ENSDARG00000060645,0.368,0.0602,0.658,0.293,0.0329,0.109
ENSDARG00000060646,5.56,0.391,0.773,2.78,0.199,0.144
ENSDARG00000060656,0.152,0.0157,0.523,0.0435,0.012,0.101
ENSDARG00000060661,1.81,0.0937,0.434,1.69,0.078,0.077
ENSDARG00000060668,0.0811,0.00979,0.335,0.0178,0.00692,0.072
ENSDARG00000060671,0.127,0.214,0.638,0.13,0.284,0.115
ENSDARG00000060678,0.46,0.154,0.647,0.254,0.0626,0.11
ENSDARG00000060679,23.1,0.191,0.386,10.9,0.095,0.0705
ENSDARG00000060680,0.0822,0.0173,0.457,0.0421,0.0281,0.0965
ENSDARG00000060682,6.27,0.0493,1.32,2.63,0.0326,0.208
ENSDARG00000060683,0.442,0.217,0.52,0.408,0.236,0.0892
ENSDARG00000060687,2.24,0.117,0.269,1.44,0.0779,0.0494
ENSDARG00000060688,0.0316,0.0324,0.24,0.0248,0.0501,0.0563
ENSDARG00000060695,2.92,0.0421,0.644,3.07,0.0286,0.111
ENSDARG00000060697,1.06,0.11,0.18,0.319,0.0263,0.036
ENSDARG00000060702,0.022,0.116,0.406,0.0213,0.0832,0.0717
ENSDARG00000060705,0.21,0.212,0.657,0.194,0.186,0.111
ENSDARG00000060707,0.374,0.152,0.655,0.26,0.091,0.108
ENSDARG00000060711,0.248,0.0127,0.566,0.0659,0.00956,0.111
ENSDARG00000060716,0.7,0.184,0.448,0.538,0.146,0.0769
ENSDARG00000060723,1.89,0.107,0.723,1.66,0.0857,0.119
ENSDARG00000060725,3.83,0.561,0.303,0.979,0.119,0.0584
ENSDARG00000060729,3.44,0.172,0.578,1.84,0.114,0.0988
ENSDARG00000060734,0.815,0.0879,0.743,0.656,0.0548,0.122
ENSDARG00000060741,0.0707,0.18,0.299,0.0646,0.191,0.0554
ENSDARG00000060745,0.095,0.0586,0.227,0.0261,0.0237,0.0435
ENSDARG00000060748,6.21,0.381,0.628,3.95,0.248,0.121
ENSDARG00000060751,1.24,0.507,0.763,0.455,0.0795,0.127
ENSDARG00000060753,0.0644,0.0142,0.289,0.0213,0.0144,0.0623
ENSDARG00000060756,0.108,0.0586,0.551,0.0471,0.0397,0.0934
ENSDARG00000060758,0.102,0.227,0.418,0.0528,0.0581,0.076
ENSDARG00000060766,0.594,0.183,0.439,0.36,0.138,0.0771
ENSDARG00000060767,1.64,0.0978,0.229,0.454,0.0207,0.0438
ENSDARG00000060768,0.655,0.225,0.541,0.566,0.191,0.0968
ENSDARG00000060771,4.35,0.348,0.467,1.58,0.101,0.0863
ENSDARG00000060783,1.37,0.116,0.729,1.29,0.0963,0.12
ENSDARG00000060785,4.23,0.528,0.553,2.11,0.273,0.107
ENSDARG00000060788,0.0598,0.0423,0.229,0.0168,0.0187,0.0444
ENSDARG00000060796,6.31,0.433,0.434,3.01,0.219,0.0819
ENSDARG00000060797,0.198,0.038,0.814,0.0857,0.0324,0.138
ENSDARG00000060805,3.59,0.592,0.578,1.03,0.112,0.102
ENSDARG00000060808,0.461,0.0608,0.489,0.125,0.0251,0.0849
ENSDARG00000060813,0.087,0.0213,0.387,0.0299,0.0162,0.0761
ENSDARG00000060830,2.06,0.175,0.577,1.54,0.127,0.101
ENSDARG00000060835,0.468,0.188,0.801,0.424,0.169,0.131
ENSDARG00000060837,0.135,0.212,0.565,0.0853,0.0849,0.0975
ENSDARG00000060838,0.0736,0.169,0.491,0.0677,0.132,0.0877
ENSDARG00000060841,2.2,0.254,0.765,1.83,0.208,0.134
ENSDARG00000060845,0.449,0.13,0.591,0.359,0.113,0.0994
ENSDARG00000060847,4.06,0.675,0.28,1.62,0.278,0.0599
ENSDARG00000060849,3.76,0.196,0.33,1.2,0.0477,0.0611
ENSDARG00000060853,3.61,0.0736,0.249,2.58,0.0468,0.0472
ENSDARG00000060854,0.0795,0.0129,0.257,0.0176,0.00787,0.0551
ENSDARG00000060861,1.29,0.31,0.529,0.896,0.239,0.0973
ENSDARG00000060862,0.107,0.0109,0.335,0.0264,0.00898,0.0705
ENSDARG00000060865,0.41,0.253,0.809,0.363,0.217,0.137
ENSDARG00000060868,2.98,0.304,0.613,2.14,0.216,0.114
ENSDARG00000060871,0.301,0.169,0.383,0.127,0.0887,0.069
ENSDARG00000060875,0.221,0.208,0.516,0.202,0.204,0.089
ENSDARG00000060877,0.0292,0.0208,0.305,0.0175,0.0428,0.0716
ENSDARG00000060879,0.369,0.312,0.784,0.307,0.283,0.127
ENSDARG00000060885,1.54,0.256,0.487,0.965,0.177,0.0886
ENSDARG00000060889,0.0814,0.0386,0.501,0.0813,0.0846,0.11
ENSDARG00000060893,0.115,0.0207,0.59,0.0647,0.0367,0.124
ENSDARG00000060900,0.502,0.0394,0.41,0.119,0.0162,0.0739
ENSDARG00000060901,0.249,0.137,0.626,0.167,0.0724,0.104
ENSDARG00000060911,1.72,0.15,0.727,1.59,0.146,0.121
ENSDARG00000060915,0.114,0.00967,0.317,0.0212,0.00577,0.0659
ENSDARG00000060917,1.03,0.091,0.423,0.425,0.0166,0.0752
ENSDARG00000060921,3.2,0.253,0.66,1.66,0.114,0.113
ENSDARG00000060922,6.44,0.555,0.353,2.13,0.195,0.069
ENSDARG00000060925,0.269,0.0375,0.245,0.0418,0.0104,0.0468
ENSDARG00000060926,0.0444,0.0162,0.248,0.0166,0.0166,0.0557
ENSDARG00000060927,0.209,0.0482,0.46,0.0576,0.0215,0.0802
ENSDARG00000060929,26.1,0.389,0.376,8.8,0.142,0.0733
ENSDARG00000060933,0.0215,0.0215,0.202,0.0135,0.0378,0.0496
ENSDARG00000060937,1.81,0.171,0.824,1.58,0.139,0.14
ENSDARG00000060941,0.0738,0.205,0.422,0.0506,0.0998,0.0746
ENSDARG00000060944,0.111,0.125,0.882,0.0885,0.0603,0.143
ENSDARG00000060946,0.145,0.0745,0.198,0.0343,0.0251,0.0391
ENSDARG00000060948,0.315,0.0252,0.435,0.0802,0.0135,0.0792
ENSDARG00000060951,0.734,0.126,0.456,0.663,0.105,0.0806
ENSDARG00000060954,7.01,0.637,0.633,1.98,0.117,0.112
ENSDARG00000060962,1.39,0.156,0.382,0.405,0.0264,0.0697
ENSDARG00000060977,3.42,0.144,1.3,1.65,0.0844,0.205
ENSDARG00000060978,4.85,0.626,0.434,1.49,0.16,0.0809
ENSDARG00000060980,1.34,0.256,0.309,0.296,0.038,0.0575
ENSDARG00000060983,1.11,0.37,0.542,0.596,0.205,0.107
ENSDARG00000060987,1.41,0.199,0.308,1.23,0.174,0.0582
ENSDARG00000060991,0.767,0.0852,0.595,0.568,0.0508,0.0994
ENSDARG00000060992,1.45,0.154,1.03,1.31,0.124,0.179
ENSDARG00000060994,2.01,0.115,0.494,1.74,0.093,0.0844
ENSDARG00000061000,0.157,0.268,0.6,0.141,0.229,0.101
ENSDARG00000061004,1.96,0.157,0.495,1.63,0.143,0.0861
ENSDARG00000061006,0.982,0.277,0.618,0.494,0.118,0.106
ENSDARG00000061011,0.0952,0.0165,0.509,0.0399,0.0233,0.108
ENSDARG00000061013,5.94,0.282,0.457,4.12,0.192,0.0907
ENSDARG00000061017,1.2,0.104,0.624,0.375,0.0465,0.105
ENSDARG00000061020,3.22,0.307,0.618,2.26,0.212,0.113
ENSDARG00000061021,0.256,0.0997,0.933,0.228,0.067,0.15
ENSDARG00000061023,2.24,0.195,0.53,0.834,0.0516,0.0918
ENSDARG00000061024,4.18,0.218,0.881,3.73,0.176,0.155
ENSDARG00000061030,0.6,0.085,0.432,0.281,0.0256,0.0759
ENSDARG00000061031,0.103,0.0535,0.569,0.118,0.117,0.119
ENSDARG00000061039,0.0765,0.117,0.548,0.0496,0.0327,0.0948
ENSDARG00000061040,0.326,0.0673,0.764,0.316,0.0457,0.126
ENSDARG00000061042,0.166,0.162,0.54,0.173,0.209,0.0985
ENSDARG00000061044,0.0348,0.0139,0.239,0.00873,0.00931,0.0521
ENSDARG00000061047,0.371,0.281,0.55,0.335,0.283,0.0948
ENSDARG00000061048,2.96,0.128,0.197,0.524,0.0155,0.0393
ENSDARG00000061051,0.0648,0.02,0.233,0.0163,0.0115,0.0482
ENSDARG00000061052,0.352,0.0303,0.342,0.238,0.0118,0.0638
ENSDARG00000061057,4.06,0.19,0.544,2.97,0.143,0.0944
ENSDARG00000061060,0.149,0.131,0.851,0.153,0.109,0.139
ENSDARG00000061061,7.79,0.568,0.364,3.77,0.287,0.0758
ENSDARG00000061062,1.11,0.115,0.177,0.168,0.00932,0.0352
ENSDARG00000061066,1.11,0.241,0.655,0.983,0.209,0.11
ENSDARG00000061070,0.203,0.143,0.535,0.0906,0.0749,0.0927
ENSDARG00000061081,2.02,0.557,0.875,0.793,0.126,0.146
ENSDARG00000061083,0.0442,0.231,0.368,0.0426,0.195,0.068
ENSDARG00000061091,0.341,0.18,0.404,0.17,0.0669,0.0735
ENSDARG00000061093,0.283,0.0522,0.414,0.0794,0.0227,0.0735
ENSDARG00000061095,0.159,0.129,0.575,0.111,0.0608,0.0987
ENSDARG00000061096,0.107,0.0489,0.343,0.053,0.0375,0.0655
ENSDARG00000061099,0.194,0.0187,0.364,0.0436,0.00984,0.0711
ENSDARG00000061100,26.1,0.403,0.465,11.4,0.185,0.0899
ENSDARG00000061101,0.0741,0.108,0.471,0.0908,0.195,0.098
ENSDARG00000061108,1.43,0.0933,0.238,0.673,0.0362,0.0457
ENSDARG00000061110,0.288,0.123,0.704,0.244,0.0928,0.115
ENSDARG00000061114,0.725,0.0733,0.488,0.522,0.0417,0.0851
ENSDARG00000061120,5.1,0.072,1.01,1.99,0.042,0.16
ENSDARG00000061121,0.54,0.0462,0.834,0.415,0.0675,0.156
ENSDARG00000061124,6.75,0.252,0.264,1.58,0.0434,0.0507
ENSDARG00000061131,0.211,0.0348,0.418,0.0632,0.0184,0.0757
ENSDARG00000061138,2.26,0.332,0.262,0.409,0.0413,0.0508
ENSDARG00000061140,0.566,0.0374,0.638,0.166,0.0195,0.109
ENSDARG00000061143,1.03,0.165,0.533,0.95,0.163,0.0908
ENSDARG00000061145,0.985,0.122,0.635,0.827,0.102,0.107
ENSDARG00000061147,0.867,0.163,0.87,0.835,0.141,0.147
ENSDARG00000061149,0.296,0.293,0.787,0.276,0.31,0.129
ENSDARG00000061159,4.57,0.247,0.915,3.44,0.177,0.164
ENSDARG00000061161,0.284,0.0758,0.531,0.163,0.0292,0.0908
ENSDARG00000061165,0.405,0.176,0.675,0.425,0.214,0.121
ENSDARG00000061168,3.19,0.396,0.613,1.36,0.177,0.116
ENSDARG00000061169,2.44,0.0552,0.485,2.06,0.0359,0.086
ENSDARG00000061173,4.56,0.227,0.46,1.17,0.038,0.0828
ENSDARG00000061174,0.244,0.0309,0.333,0.161,0.00968,0.0634
ENSDARG00000061177,0.0845,0.0346,0.266,0.0201,0.0143,0.0505
ENSDARG00000061180,1.55,0.143,0.608,1.4,0.129,0.102
ENSDARG00000061185,4.31,0.498,0.341,0.909,0.0763,0.0634
ENSDARG00000061187,4.43,0.0314,0.374,3.71,0.0169,0.0709
ENSDARG00000061191,0.123,0.0153,0.396,0.0338,0.0107,0.079
ENSDARG00000061194,0.0888,0.109,0.239,0.0688,0.111,0.0459
ENSDARG00000061195,0.162,0.193,0.742,0.0954,0.0526,0.124
ENSDARG00000061196,1.14,0.191,0.967,0.578,0.116,0.156
ENSDARG00000061197,1.06,0.249,0.37,0.464,0.123,0.0687
ENSDARG00000061201,6.77,0.348,0.617,2.34,0.0834,0.107
ENSDARG00000061203,0.0586,0.0159,0.424,0.035,0.0383,0.0942
ENSDARG00000061204,0.397,0.07,0.326,0.148,0.0126,0.0602
ENSDARG00000061205,0.5,0.0691,0.223,0.0698,0.0142,0.0437
ENSDARG00000061207,2.71,0.218,0.483,1.24,0.0865,0.0853
ENSDARG00000061208,3.11,0.149,0.262,0.847,0.0317,0.0497
ENSDARG00000061213,0.55,0.0782,0.53,0.496,0.057,0.0909
ENSDARG00000061214,1.57,0.149,0.758,1.48,0.155,0.126
ENSDARG00000061215,1.17,0.245,0.649,0.855,0.185,0.109
ENSDARG00000061216,0.526,0.193,0.724,0.31,0.0917,0.12
ENSDARG00000061221,0.0442,0.178,0.626,0.0324,0.0309,0.105
ENSDARG00000061222,0.134,0.3,0.261,0.104,0.242,0.0508
ENSDARG00000061223,0.0439,0.0146,0.184,0.00819,0.00675,0.0394
ENSDARG00000061226,0.448,0.0339,0.825,0.301,0.0533,0.158
ENSDARG00000061228,11.2,0.121,0.545,2.72,0.0392,0.0938
ENSDARG00000061231,0.249,0.0444,0.521,0.0756,0.0231,0.0909
ENSDARG00000061233,0.81,0.0138,0.336,0.196,0.00825,0.0679
ENSDARG00000061235,22.9,0.5,0.703,11.7,0.259,0.136
ENSDARG00000061240,0.129,0.214,0.273,0.102,0.193,0.0511
ENSDARG00000061242,0.375,0.0663,0.687,0.204,0.0631,0.119
ENSDARG00000061243,0.245,0.169,0.769,0.198,0.121,0.126
ENSDARG00000061248,0.729,0.169,0.448,0.247,0.0708,0.0793
ENSDARG00000061249,1.74,0.0287,1.27,0.97,0.0362,0.226
ENSDARG00000061255,0.169,0.0664,0.588,0.191,0.119,0.113
ENSDARG00000061256,7.18,0.196,0.436,3.58,0.104,0.079
ENSDARG00000061257,6.53,0.617,0.635,3.07,0.272,0.115
ENSDARG00000061259,0.244,0.0154,0.478,0.0543,0.00901,0.0897
ENSDARG00000061260,0.103,0.111,0.387,0.084,0.116,0.0685
ENSDARG00000061265,0.156,0.107,0.588,0.13,0.0734,0.0995
ENSDARG00000061268,0.286,0.162,0.637,0.142,0.0413,0.109
ENSDARG00000061272,1.64,0.0489,0.749,0.856,0.0471,0.129
ENSDARG00000061274,0.401,0.269,0.484,0.249,0.149,0.0847
ENSDARG00000061282,8.85,0.139,0.216,1.92,0.0221,0.0423
ENSDARG00000061288,0.0849,0.0972,0.358,0.0725,0.116,0.0667
ENSDARG00000061292,0.017,0.0513,0.204,0.0168,0.105,0.0509
ENSDARG00000061294,8.8,0.436,0.23,3.33,0.175,0.0473
ENSDARG00000061301,1.73,0.176,0.384,1.33,0.135,0.0686
ENSDARG00000061303,0.0872,0.0222,0.434,0.0284,0.0161,0.083
ENSDARG00000061304,0.0379,0.0143,0.184,0.00864,0.00812,0.0402
ENSDARG00000061311,2.87,0.388,0.522,1.63,0.235,0.1
ENSDARG00000061314,4.87,0.38,0.478,2.44,0.204,0.0888
ENSDARG00000061328,1.6,0.0398,0.772,0.463,0.0204,0.127
ENSDARG00000061335,0.561,0.0389,0.505,0.143,0.0179,0.0894
ENSDARG00000061338,1.54,0.19,0.604,0.813,0.0832,0.104
ENSDARG00000061345,12.0,0.333,0.261,7.13,0.204,0.0532
ENSDARG00000061348,1.21,0.386,0.494,0.767,0.242,0.0924
ENSDARG00000061351,0.111,0.0352,0.259,0.0279,0.016,0.05
ENSDARG00000061352,0.0904,0.0254,0.456,0.051,0.0337,0.0907
ENSDARG00000061354,1.36,0.179,0.227,0.236,0.0381,0.0439
ENSDARG00000061355,0.516,0.38,1.15,0.517,0.471,0.191
ENSDARG00000061357,0.383,0.139,0.64,0.225,0.0616,0.106
ENSDARG00000061362,0.0167,0.0138,0.114,0.00446,0.00965,0.0287
ENSDARG00000061363,0.543,0.263,0.629,0.338,0.177,0.109
ENSDARG00000061365,0.0478,0.0129,0.195,0.00936,0.00693,0.0423
ENSDARG00000061368,0.211,0.0463,0.244,0.0396,0.0142,0.0463
ENSDARG00000061370,2.19,0.181,0.329,0.549,0.0556,0.0605
ENSDARG00000061371,0.187,0.0529,0.472,0.152,0.0648,0.0919
ENSDARG00000061372,10.1,0.531,0.521,5.29,0.283,0.104
ENSDARG00000061373,0.152,0.081,0.554,0.131,0.056,0.0954
ENSDARG00000061375,9.2,0.579,0.711,3.73,0.19,0.123
ENSDARG00000061377,0.702,0.101,0.545,0.221,0.0413,0.0932
ENSDARG00000061378,2.35,0.183,0.696,2.09,0.154,0.121
ENSDARG00000061379,0.128,0.0274,0.518,0.0448,0.0188,0.095
ENSDARG00000061383,0.525,0.0187,0.746,0.168,0.0146,0.138
ENSDARG00000061385,0.348,0.133,0.576,0.271,0.0585,0.0995
ENSDARG00000061391,2.75,0.129,0.964,1.14,0.0711,0.155
ENSDARG00000061397,1.99,0.051,0.242,1.41,0.0302,0.0472
ENSDARG00000061398,0.499,0.0984,0.529,0.257,0.0354,0.0907
ENSDARG00000061400,5.39,0.341,0.655,3.01,0.19,0.124
ENSDARG00000061405,0.25,0.0473,0.306,0.0503,0.0152,0.0568
ENSDARG00000061409,0.559,0.392,0.703,0.254,0.104,0.119
ENSDARG00000061411,2.62,0.141,1.04,2.5,0.118,0.175
ENSDARG00000061413,2.69,0.116,0.805,2.78,0.101,0.132
ENSDARG00000061414,2.24,0.167,0.875,2.07,0.138,0.149
ENSDARG00000061416,0.171,0.131,0.475,0.162,0.143,0.0835
ENSDARG00000061417,1.14,0.235,0.256,0.214,0.0263,0.0497
ENSDARG00000061419,0.0487,0.0237,0.225,0.0123,0.0123,0.0455
ENSDARG00000061421,0.231,0.251,0.587,0.163,0.158,0.0996
ENSDARG00000061424,7.03,0.482,0.526,2.9,0.206,0.1
ENSDARG00000061432,0.0766,0.202,0.463,0.0595,0.156,0.0841
ENSDARG00000061436,0.381,0.0149,0.743,0.133,0.0158,0.143
ENSDARG00000061437,0.594,0.186,0.711,0.349,0.0878,0.117
ENSDARG00000061439,0.189,0.0889,0.526,0.165,0.113,0.0959
ENSDARG00000061445,0.995,0.544,0.59,0.563,0.297,0.105
ENSDARG00000061446,0.131,0.157,0.653,0.0833,0.0603,0.108
ENSDARG00000061450,2.8,0.469,0.61,0.896,0.105,0.105
ENSDARG00000061451,0.417,0.116,0.439,0.146,0.0221,0.0782
ENSDARG00000061454,1.05,0.236,1.0,0.995,0.25,0.16
ENSDARG00000061458,0.541,0.0727,0.466,0.314,0.0282,0.0821
ENSDARG00000061459,3.92,0.262,0.8,3.06,0.198,0.141
ENSDARG00000061461,0.116,0.187,0.441,0.11,0.177,0.0775
ENSDARG00000061462,0.169,0.0509,0.43,0.0472,0.0217,0.0755
ENSDARG00000061466,0.0415,0.0514,0.351,0.0434,0.1,0.0801
ENSDARG00000061468,0.246,0.0579,0.296,0.0814,0.00638,0.0541
ENSDARG00000061471,0.401,0.181,0.634,0.307,0.17,0.107
ENSDARG00000061472,2.22,0.261,0.651,1.2,0.127,0.11
ENSDARG00000061473,0.0595,0.0152,0.421,0.0249,0.0268,0.0911
ENSDARG00000061478,15.1,0.129,0.61,4.41,0.0481,0.104
ENSDARG00000061479,0.119,0.022,0.356,0.028,0.0108,0.0672
ENSDARG00000061481,0.234,0.173,0.644,0.252,0.226,0.115
ENSDARG00000061490,3.81,0.0766,0.219,1.23,0.0184,0.042
ENSDARG00000061496,0.75,0.141,0.749,0.326,0.0789,0.123
ENSDARG00000061504,0.762,0.181,0.807,0.436,0.0795,0.134
ENSDARG00000061505,3.03,0.225,0.454,1.91,0.15,0.0832
ENSDARG00000061508,0.214,0.0694,0.889,0.179,0.0371,0.146
ENSDARG00000061509,0.357,0.144,0.582,0.158,0.0773,0.101
ENSDARG00000061515,0.0322,0.0164,0.185,0.00757,0.00898,0.0399
ENSDARG00000061517,0.0322,0.0296,0.285,0.028,0.0646,0.0664
ENSDARG00000061520,0.224,0.229,0.568,0.214,0.25,0.0969
ENSDARG00000061525,3.26,0.231,0.414,0.976,0.0482,0.075
ENSDARG00000061527,6.23,0.211,0.659,2.72,0.102,0.115
ENSDARG00000061541,0.182,0.155,0.834,0.161,0.11,0.136
ENSDARG00000061543,2.52,0.141,0.383,0.65,0.049,0.0681
ENSDARG00000061544,0.0345,0.0164,0.163,0.0104,0.0124,0.037
ENSDARG00000061547,0.282,0.196,0.661,0.19,0.131,0.118
ENSDARG00000061548,0.146,0.083,0.385,0.0554,0.043,0.069
ENSDARG00000061549,0.0954,0.131,0.68,0.0821,0.0942,0.113
ENSDARG00000061551,0.116,0.0239,0.336,0.036,0.016,0.0662
ENSDARG00000061553,0.504,0.121,0.557,0.253,0.0411,0.0958
ENSDARG00000061560,0.0477,0.0196,0.236,0.0185,0.0169,0.0515
ENSDARG00000061562,0.0354,0.0152,0.206,0.00932,0.00968,0.0452
ENSDARG00000061566,0.651,0.17,0.485,0.216,0.0687,0.0855
ENSDARG00000061576,0.0366,0.0338,0.353,0.0293,0.0773,0.0802
ENSDARG00000061579,1.01,0.0616,0.565,0.551,0.0489,0.0982
ENSDARG00000061580,0.864,0.369,0.72,0.512,0.183,0.12
ENSDARG00000061585,0.41,0.339,0.576,0.266,0.243,0.0979
ENSDARG00000061587,1.76,0.0613,0.593,1.3,0.0321,0.102
ENSDARG00000061590,4.35,0.162,0.658,3.96,0.139,0.113
ENSDARG00000061591,3.69,0.495,0.471,1.65,0.23,0.0908
ENSDARG00000061600,4.08,0.22,0.558,2.55,0.139,0.103
