GeneID,beta_mean,delta_m_mean,delta_z_mean,sigma_y_mean,t_zga_mean,beta_std,delta_m_std,delta_z_std,sigma_y_std,t_zga_std
ENSDARG00000073900,0.366,1.53,0.0994,1.06,1.32,0.177,0.824,0.0546,0.193,0.926
ENSDARG00000073902,2.6,1.23,0.246,0.493,0.718,1.09,0.671,0.11,0.105,0.459
ENSDARG00000073905,3.46,1.58,0.105,0.408,3.45,0.976,0.858,0.0373,0.0764,0.66
ENSDARG00000073909,0.44,2.68,0.105,0.517,5.71,0.273,0.716,0.0935,0.105,4.21
ENSDARG00000073910,2.84,1.38,0.194,0.446,1.54,0.948,0.78,0.0702,0.0861,0.939
ENSDARG00000073911,1.6,1.39,0.095,0.625,23.1,0.789,0.736,0.065,0.11,3.57
ENSDARG00000073912,0.256,1.48,0.195,0.788,1.37,0.0854,0.0476,0.0904,0.0584,0.529
ENSDARG00000073914,0.127,1.69,0.0444,0.147,13.0,0.0391,0.0652,0.0161,0.0207,1.96
ENSDARG00000073915,0.93,1.52,0.142,1.08,0.963,0.44,0.811,0.0717,0.211,0.616
ENSDARG00000073917,0.548,1.56,0.117,0.602,2.38,0.26,0.81,0.0786,0.105,2.24
ENSDARG00000073918,0.618,1.5,0.133,0.722,1.83,0.246,0.769,0.0706,0.121,1.62
ENSDARG00000073920,0.103,1.66,0.0617,0.175,40.3,0.0386,0.172,0.0253,0.0269,11.2
ENSDARG00000073923,0.993,0.633,0.191,0.342,1.35,0.385,0.279,0.0751,0.0696,1.03
ENSDARG00000073926,10.5,0.674,0.819,0.377,0.418,2.81,0.526,0.379,0.121,0.276
ENSDARG00000073931,0.473,1.5,0.211,0.356,0.744,0.193,0.782,0.104,0.0696,0.449
ENSDARG00000073933,0.0805,1.63,0.0832,0.115,13.8,0.0453,0.0445,0.0565,0.0131,2.33
ENSDARG00000073936,0.758,1.32,0.333,0.635,1.27,0.31,0.725,0.16,0.109,0.927
ENSDARG00000073944,1.42,1.57,0.081,0.418,3.57,0.41,0.826,0.029,0.0771,0.989
ENSDARG00000073948,0.128,1.5,0.16,0.395,1.61,0.0254,0.0387,0.041,0.0793,0.955
ENSDARG00000073952,0.47,0.797,0.147,0.522,1.76,0.218,0.322,0.0821,0.0932,1.5
ENSDARG00000073957,1.18,1.66,0.0959,0.552,0.799,0.369,0.855,0.0451,0.0982,0.505
ENSDARG00000073959,0.2,1.65,0.114,0.286,44.4,0.0965,0.834,0.0675,0.0579,8.75
ENSDARG00000073961,0.485,2.82,0.117,0.675,3.59,0.231,0.645,0.0777,0.115,3.04
ENSDARG00000073962,14.1,0.319,0.482,0.218,1.08,7.12,0.0981,0.24,0.0688,0.41
ENSDARG00000073963,0.0955,1.54,0.0787,0.256,6.11,0.0299,0.0862,0.0451,0.0197,1.96
ENSDARG00000073965,0.142,1.47,0.124,0.397,3.53,0.0579,0.0506,0.0375,0.0517,2.27
ENSDARG00000073970,0.205,0.931,0.356,1.34,2.2,0.0942,0.537,0.402,0.185,2.6
ENSDARG00000073974,0.62,1.59,0.17,0.411,2.06,0.234,0.848,0.0688,0.0822,0.949
ENSDARG00000073978,8.17,1.57,0.178,0.505,7.06,3.36,0.829,0.0781,0.107,0.631
ENSDARG00000073985,0.651,1.19,0.245,0.953,1.48,0.323,0.668,0.142,0.161,2.04
ENSDARG00000073988,2.59,1.17,0.437,0.396,0.502,1.06,0.746,0.214,0.0911,0.391
ENSDARG00000073996,0.539,1.47,0.202,0.884,0.998,0.268,0.803,0.108,0.162,0.717
ENSDARG00000073997,3.55,0.529,0.163,0.397,2.22,1.4,0.147,0.0667,0.076,1.56
ENSDARG00000073998,0.0994,1.56,0.17,0.227,1.86,0.0431,0.862,0.0859,0.0443,1.09
ENSDARG00000073999,0.693,1.71,0.207,0.24,0.779,0.174,0.878,0.0599,0.0494,0.458
ENSDARG00000074001,45.7,1.25,0.0673,0.556,26.6,22.6,0.706,0.0473,0.111,2.29
ENSDARG00000074002,0.495,1.59,0.0777,0.766,4.16,0.206,0.848,0.0358,0.135,2.19
ENSDARG00000074004,0.222,1.19,0.388,0.49,2.33,0.121,0.828,0.299,0.0851,5.02
ENSDARG00000074009,0.531,1.58,0.153,0.806,1.1,0.238,0.83,0.0738,0.153,0.65
ENSDARG00000074012,0.0346,1.5,0.161,0.803,2.76,0.00782,0.0438,0.0958,0.151,2.25
ENSDARG00000074014,0.0166,1.32,0.102,0.535,3.64,0.00905,0.484,0.113,0.0911,3.91
ENSDARG00000074017,0.707,1.49,0.194,0.616,1.05,0.327,0.765,0.108,0.111,0.788
ENSDARG00000074023,8.38,1.57,0.246,0.486,3.1,3.04,0.846,0.0958,0.111,0.548
ENSDARG00000074029,0.308,1.42,0.273,0.462,5.65,0.151,0.122,0.188,0.0784,4.89
ENSDARG00000074030,2.66,1.49,0.061,0.57,3.1,1.05,0.808,0.031,0.0993,1.53
ENSDARG00000074031,1.72,1.52,0.123,0.481,2.3,0.614,0.666,0.0503,0.0853,1.47
ENSDARG00000074033,0.0719,1.49,0.139,0.205,5.68,0.0305,0.103,0.0816,0.0305,2.45
ENSDARG00000074034,0.447,1.61,0.14,0.751,1.37,0.204,0.854,0.0893,0.129,1.72
ENSDARG00000074036,0.117,1.52,0.0781,0.259,28.9,0.0349,0.0927,0.0404,0.173,16.2
ENSDARG00000074041,0.69,0.922,0.161,0.263,2.14,0.25,0.104,0.0649,0.0523,1.4
ENSDARG00000074050,2.25,1.59,0.124,1.17,1.35,0.907,0.853,0.0612,0.202,0.747
ENSDARG00000074052,0.00444,1.14,0.294,0.335,3.87,0.00197,0.845,0.286,0.0502,5.42
ENSDARG00000074056,0.523,1.49,0.161,0.429,2.3,0.213,0.785,0.0823,0.0753,1.1
ENSDARG00000074057,47.3,1.79,0.117,0.297,1.34,10.5,0.89,0.0321,0.0565,0.645
ENSDARG00000074059,0.766,1.85,0.109,0.261,1.23,0.183,0.835,0.0326,0.0514,0.674
ENSDARG00000074060,1.6,1.59,0.286,0.25,3.13,0.596,0.843,0.112,0.0617,0.677
ENSDARG00000074062,0.00545,1.6,0.22,0.0999,5.17,0.00274,0.427,0.213,0.0211,7.1
ENSDARG00000074064,0.298,1.24,0.182,0.614,13.6,0.158,0.64,0.145,0.111,12.7
ENSDARG00000074069,0.0661,1.5,0.139,0.199,4.8,0.0269,0.0344,0.0607,0.0242,2.16
ENSDARG00000074070,0.69,1.51,0.109,0.386,5.28,0.167,0.0242,0.0274,0.0652,2.07
ENSDARG00000074071,0.182,1.21,0.0929,1.08,1.71,0.0984,0.709,0.0603,0.189,1.56
ENSDARG00000074073,0.158,1.52,0.0312,0.257,6.22,0.0883,0.803,0.0291,0.0661,4.61
ENSDARG00000074074,0.751,0.3,0.145,0.504,1.85,0.353,0.126,0.0711,0.107,1.54
ENSDARG00000074075,0.131,1.48,0.192,0.36,16.4,0.0548,0.112,0.149,0.0933,24.9
ENSDARG00000074079,1.11,1.55,0.146,0.312,2.9,0.282,0.0703,0.0506,0.0307,0.363
ENSDARG00000074081,0.133,1.46,0.169,0.198,3.63,0.0458,0.028,0.0537,0.0691,0.709
ENSDARG00000074082,0.161,1.31,0.21,0.418,5.48,0.0838,0.738,0.152,0.0755,9.09
ENSDARG00000074084,6.35,0.587,0.224,0.555,0.963,2.65,0.377,0.0963,0.124,0.603
ENSDARG00000074086,0.103,1.5,0.0538,0.138,24.9,0.0436,0.794,0.0287,0.0316,3.86
ENSDARG00000074087,0.755,1.39,0.509,0.589,0.95,0.576,0.797,0.488,0.106,1.51
ENSDARG00000074094,1.96,0.786,0.0875,0.678,9.39,0.899,0.458,0.0489,0.131,3.87
ENSDARG00000074098,1.28,0.487,0.161,0.669,1.28,0.597,0.264,0.0801,0.137,0.926
ENSDARG00000074100,0.0661,2.64,0.113,0.239,5.7,0.0314,0.163,0.0747,0.0474,5.63
ENSDARG00000074111,0.279,1.45,0.181,0.514,1.15,0.0267,0.0718,0.0658,0.0948,1.2
ENSDARG00000074117,0.112,1.31,0.416,0.353,4.64,0.0533,0.681,0.506,0.0661,6.91
ENSDARG00000074118,0.516,1.38,0.299,0.438,1.37,0.133,0.0452,0.104,0.0769,0.716
ENSDARG00000074120,0.52,1.37,0.0962,0.472,13.3,0.333,0.721,0.0871,0.0996,4.61
ENSDARG00000074121,4.24,1.53,0.34,0.403,0.544,1.55,0.809,0.139,0.0888,0.279
ENSDARG00000074125,0.676,1.47,0.145,1.09,1.0,0.342,0.776,0.0824,0.2,0.758
ENSDARG00000074126,1.44,1.31,0.44,0.415,0.588,0.695,0.819,0.224,0.0806,0.332
ENSDARG00000074129,1.57,1.87,0.111,0.366,0.846,0.375,0.931,0.0357,0.0695,0.472
ENSDARG00000074131,12.1,0.97,0.269,0.588,0.754,4.89,0.566,0.112,0.126,0.473
ENSDARG00000074136,0.00586,1.56,0.141,0.486,4.11,0.00327,0.822,0.18,0.0806,5.3
ENSDARG00000074137,0.429,1.99,0.174,0.33,1.43,0.147,0.57,0.0655,0.0693,0.936
ENSDARG00000074143,0.835,1.6,0.132,0.238,3.14,0.241,0.854,0.046,0.0495,0.612
ENSDARG00000074146,1.2,0.846,0.48,0.644,0.84,0.718,0.439,0.526,0.118,0.791
ENSDARG00000074149,0.333,1.28,0.247,0.598,3.87,0.17,0.637,0.161,0.102,6.28
ENSDARG00000074150,0.15,1.46,0.104,0.217,46.4,0.0366,0.0107,0.0219,0.198,25.8
ENSDARG00000074153,0.0871,1.19,0.187,0.298,13.8,0.0439,0.465,0.144,0.0601,17.4
ENSDARG00000074156,1.14,1.5,0.0622,0.611,3.71,0.302,0.269,0.0272,0.0728,1.11
ENSDARG00000074160,0.712,1.61,0.149,0.441,8.71,0.313,0.0805,0.0488,0.0575,0.247
ENSDARG00000074161,4.31,0.686,0.254,0.3,0.88,1.43,0.464,0.0854,0.0693,0.505
ENSDARG00000074163,0.226,3.14,0.134,0.28,2.01,0.0898,0.314,0.0648,0.0534,1.34
ENSDARG00000074166,1.42,1.17,0.21,0.203,1.06,0.374,0.371,0.0604,0.0433,0.662
ENSDARG00000074168,1.82,0.688,0.252,0.521,0.947,0.776,0.44,0.11,0.115,0.6
ENSDARG00000074169,0.553,1.4,0.107,0.703,3.88,0.275,0.728,0.0777,0.119,3.62
ENSDARG00000074170,0.213,1.44,0.0927,0.392,3.82,0.0922,0.709,0.0532,0.0709,3.15
ENSDARG00000074183,0.893,1.55,0.204,0.544,1.02,0.371,0.807,0.107,0.0937,0.618
ENSDARG00000074184,1.49,1.63,0.161,0.466,0.609,0.457,0.846,0.0634,0.0882,0.36
ENSDARG00000074185,0.0887,1.5,0.138,0.133,41.4,0.025,0.0265,0.0354,0.1,22.6
ENSDARG00000074191,2.59,1.59,0.258,0.434,2.98,0.959,0.858,0.102,0.0944,0.614
ENSDARG00000074201,5.46,1.3,0.0914,0.565,3.67,2.03,0.444,0.0424,0.0981,1.89
ENSDARG00000074204,1.27,1.85,0.127,0.417,0.848,0.377,0.939,0.049,0.077,0.575
ENSDARG00000074210,0.0877,0.898,0.655,0.318,3.71,0.0476,0.637,0.479,0.0513,10.2
ENSDARG00000074212,0.279,1.29,0.517,0.272,1.84,0.3,0.8,0.542,0.0456,2.37
ENSDARG00000074213,0.108,1.51,0.112,0.235,28.7,0.0366,0.138,0.0869,0.142,14.8
ENSDARG00000074216,0.333,1.72,0.0523,0.222,16.8,0.0744,0.139,0.0113,0.141,7.45
ENSDARG00000074217,0.23,1.62,0.108,0.432,19.8,0.111,0.111,0.0574,0.125,12.7
ENSDARG00000074219,0.271,1.53,0.219,0.673,1.81,0.137,0.805,0.142,0.115,2.68
ENSDARG00000074221,0.242,2.18,0.146,0.446,18.1,0.145,0.781,0.122,0.0876,16.7
ENSDARG00000074222,0.0936,1.38,0.103,0.222,30.9,0.0494,0.754,0.0928,0.0527,16.6
ENSDARG00000074223,0.123,1.47,0.0442,0.191,4.48,0.0445,0.188,0.0233,0.0441,2.33
ENSDARG00000074225,0.645,1.53,0.205,0.731,2.89,0.353,0.8,0.161,0.125,4.52
ENSDARG00000074226,3.57,1.72,0.239,0.279,0.649,0.837,0.907,0.0652,0.055,0.312
ENSDARG00000074229,9.91,0.444,0.213,0.406,1.11,3.66,0.285,0.0814,0.0941,0.658
ENSDARG00000074231,0.474,1.59,0.12,0.324,0.916,0.148,0.835,0.05,0.0602,0.46
ENSDARG00000074233,0.186,1.64,0.0698,0.212,29.7,0.0287,0.0503,0.0179,0.0388,2.52
ENSDARG00000074235,0.153,1.48,0.15,0.198,7.48,0.0452,0.0379,0.041,0.0256,2.32
ENSDARG00000074238,1.0,0.998,0.165,0.83,1.2,0.463,0.589,0.0852,0.149,0.859
ENSDARG00000074242,223.0,1.49,0.189,0.414,1.26,59.5,0.818,0.0576,0.0796,0.559
ENSDARG00000074244,0.715,1.57,0.0754,0.475,1.13,0.249,0.791,0.0408,0.0895,0.828
ENSDARG00000074245,2.07,1.4,0.371,0.626,1.0,1.56,0.842,0.332,0.102,0.541
ENSDARG00000074246,33.6,1.06,0.493,0.204,0.675,12.3,0.521,0.19,0.0523,0.269
ENSDARG00000074248,2.62,1.01,0.226,0.514,0.913,1.04,0.524,0.0955,0.104,0.588
ENSDARG00000074253,0.537,1.53,0.0824,0.771,2.64,0.0354,0.0175,0.0308,0.122,1.8
ENSDARG00000074254,0.234,0.567,0.123,0.599,2.21,0.104,0.208,0.064,0.11,1.89
ENSDARG00000074255,0.427,1.11,0.0254,0.253,15.5,0.158,0.272,0.0173,0.0647,1.74
ENSDARG00000074258,0.244,1.53,0.517,0.514,9.68,0.117,0.753,0.651,0.113,14.4
ENSDARG00000074262,0.63,1.3,0.0494,0.391,10.7,0.364,0.608,0.0428,0.0842,3.84
ENSDARG00000074264,0.0733,1.45,0.154,0.272,2.16,0.0287,0.0556,0.0603,0.0409,0.969
ENSDARG00000074265,0.11,1.45,0.188,0.173,5.47,0.0337,0.0501,0.0846,0.043,1.61
ENSDARG00000074266,1.39,1.58,0.178,0.223,0.844,0.285,0.853,0.0429,0.0446,0.491
ENSDARG00000074270,1.79,1.35,0.219,0.707,0.76,0.746,0.738,0.0959,0.15,0.464
ENSDARG00000074271,2.94,1.88,0.156,0.416,2.81,1.13,0.991,0.0706,0.079,0.945
ENSDARG00000074274,0.0,1.64,0.121,0.501,2.55,0.0,0.246,0.0229,0.0715,0.779
ENSDARG00000074275,0.894,1.26,0.216,0.634,1.61,0.763,0.663,0.329,0.117,1.41
ENSDARG00000074282,1.79,0.446,0.154,0.698,1.44,0.815,0.255,0.0733,0.147,1.1
ENSDARG00000074283,0.176,1.58,0.0933,0.187,13.3,0.0639,0.104,0.0425,0.0415,2.67
ENSDARG00000074285,0.449,1.23,0.0661,0.204,44.0,0.213,0.597,0.0383,0.0426,2.71
ENSDARG00000074286,1.84,1.42,0.309,0.614,0.67,0.78,0.759,0.14,0.13,0.402
ENSDARG00000074287,4.99,1.27,0.507,0.248,0.912,1.71,0.835,0.202,0.052,0.475
ENSDARG00000074289,0.12,0.804,0.0821,0.843,2.82,0.0562,0.22,0.0544,0.142,2.41
ENSDARG00000074293,1.56,1.47,0.175,0.498,1.02,0.571,0.777,0.0733,0.0947,0.684
ENSDARG00000074298,2.28,1.45,0.183,0.984,0.791,1.05,0.784,0.0919,0.196,0.501
ENSDARG00000074301,7.28,1.56,0.164,0.62,1.45,2.32,0.814,0.0613,0.108,0.617
ENSDARG00000074303,1.68,1.84,0.138,0.415,0.834,0.48,0.921,0.0513,0.0792,0.555
ENSDARG00000074305,1.03,1.99,0.143,0.289,1.03,0.245,1.04,0.0409,0.0567,0.565
ENSDARG00000074306,0.0236,1.13,0.776,3.01,2.81,0.0125,0.742,0.676,0.365,3.72
ENSDARG00000074307,0.788,0.989,0.208,0.317,1.05,0.33,0.413,0.0966,0.0622,0.697
ENSDARG00000074308,0.264,1.99,0.117,0.521,7.13,0.14,0.725,0.0871,0.0944,5.34
ENSDARG00000074309,0.187,1.3,0.177,0.528,3.22,0.0906,0.583,0.118,0.0899,3.8
ENSDARG00000074310,0.185,0.883,0.17,0.535,6.32,0.0959,0.4,0.128,0.0962,7.02
ENSDARG00000074311,0.525,1.17,0.062,0.33,5.25,0.229,0.318,0.0377,0.0657,1.88
ENSDARG00000074314,1.16,1.54,0.238,0.58,0.646,0.506,0.806,0.117,0.12,0.382
ENSDARG00000074316,0.11,1.73,0.0456,0.192,13.8,0.0224,0.0253,0.00944,0.0481,1.32
ENSDARG00000074317,0.101,1.54,0.0641,0.211,36.4,0.04,0.0841,0.0446,0.163,20.6
ENSDARG00000074319,3.22,1.53,0.26,0.515,0.821,1.05,0.809,0.0963,0.101,0.386
ENSDARG00000074320,0.197,1.59,0.0676,0.162,41.9,0.113,0.838,0.0447,0.0354,6.14
ENSDARG00000074321,1.76,1.6,0.136,0.809,1.87,0.714,0.864,0.0626,0.149,0.861
ENSDARG00000074322,0.644,1.76,0.132,0.504,16.5,0.339,0.216,0.0934,0.168,7.28
ENSDARG00000074323,0.303,1.39,0.0868,0.489,0.877,0.0732,0.266,0.0269,0.0842,0.544
ENSDARG00000074326,0.425,1.01,0.143,0.455,1.64,0.168,0.385,0.0586,0.0881,1.18
ENSDARG00000074328,1.2,1.56,0.0803,0.433,6.9,0.594,0.854,0.0564,0.0831,1.17
ENSDARG00000074329,0.523,1.55,0.0721,0.262,44.3,0.267,0.815,0.0448,0.0534,5.63
ENSDARG00000074331,1.86,1.23,0.146,0.557,1.61,0.686,0.419,0.0583,0.105,1.06
ENSDARG00000074332,2.96,0.474,0.17,0.455,1.37,1.24,0.246,0.0722,0.0945,1.05
ENSDARG00000074335,5.2,1.66,0.121,0.359,1.1,1.09,0.864,0.032,0.0665,0.421
ENSDARG00000074337,6.23,1.57,0.209,0.709,2.57,3.03,0.834,0.111,0.154,0.721
ENSDARG00000074340,46.3,0.514,0.171,0.395,2.04,17.8,0.285,0.0695,0.083,1.09
ENSDARG00000074341,0.0825,1.59,0.0687,0.223,5.77,0.0514,0.866,0.057,0.0504,5.05
ENSDARG00000074345,0.0525,1.61,0.102,0.15,3.25,0.0245,0.857,0.0622,0.0315,1.93
ENSDARG00000074346,1.87,0.876,0.192,0.694,0.992,0.807,0.527,0.0886,0.138,0.658
ENSDARG00000074356,0.607,1.03,0.13,0.709,1.71,0.26,0.45,0.0672,0.121,1.32
ENSDARG00000074359,0.117,1.53,0.163,1.61,1.79,0.0614,0.0343,0.0665,0.224,0.911
ENSDARG00000074362,0.062,1.6,0.133,0.235,3.52,0.0263,0.827,0.0756,0.0443,2.63
ENSDARG00000074363,0.564,1.54,0.091,0.571,3.78,0.239,0.0121,0.0381,0.135,0.528
ENSDARG00000074365,0.733,1.58,0.194,0.717,0.771,0.324,0.826,0.0991,0.141,0.521
ENSDARG00000074367,1.86,1.05,0.248,0.342,0.85,0.752,0.477,0.107,0.0708,0.557
ENSDARG00000074371,0.081,1.45,0.115,0.29,3.06,0.0327,0.681,0.057,0.0542,2.18
ENSDARG00000074372,0.197,1.58,0.0848,0.148,47.7,0.0953,0.819,0.047,0.0323,6.13
ENSDARG00000074376,0.0549,1.84,0.0502,0.188,17.1,0.0277,0.283,0.0435,0.12,8.59
ENSDARG00000074378,1.17,1.56,0.142,0.706,6.78,0.733,0.829,0.125,0.133,4.21
ENSDARG00000074379,2.11,1.62,0.111,0.688,1.74,0.758,0.82,0.0471,0.123,1.13
ENSDARG00000074381,7.48,0.5,0.518,0.233,0.679,2.71,0.237,0.21,0.0678,0.315
ENSDARG00000074384,0.141,1.25,0.754,0.673,2.57,0.0622,0.628,0.586,0.0872,3.03
ENSDARG00000074387,0.0422,1.94,0.0283,0.122,19.6,0.009,0.17,0.012,0.0327,2.49
ENSDARG00000074390,3.11,1.44,0.0632,0.376,7.95,1.22,0.794,0.0372,0.0742,0.749
ENSDARG00000074393,0.741,0.929,0.152,0.422,2.18,0.309,0.136,0.0696,0.0766,1.58
ENSDARG00000074396,0.451,1.55,0.112,0.4,6.36,0.105,0.0406,0.0499,0.0472,0.837
ENSDARG00000074401,0.365,0.762,0.121,0.372,2.06,0.148,0.19,0.0578,0.0683,1.6
ENSDARG00000074403,0.144,1.51,0.102,0.315,2.52,0.085,0.794,0.0892,0.067,3.05
ENSDARG00000074410,0.352,1.22,0.137,0.423,1.59,0.128,0.417,0.0552,0.081,1.14
ENSDARG00000074414,0.5,1.56,0.0989,0.484,4.73,0.23,0.806,0.0537,0.0867,2.72
ENSDARG00000074415,0.214,1.58,0.104,0.334,29.1,0.125,0.852,0.0868,0.0725,16.9
ENSDARG00000074419,0.0886,1.65,0.0672,0.224,29.9,0.0212,0.27,0.0391,0.142,17.0
ENSDARG00000074424,2.32,1.46,0.277,0.394,0.5,0.884,0.762,0.12,0.0908,0.31
ENSDARG00000074425,1.18,1.86,0.0861,0.592,9.2,0.867,0.623,0.0998,0.142,4.28
ENSDARG00000074428,0.131,0.889,0.127,0.542,2.3,0.0615,0.443,0.0792,0.0959,2.43
ENSDARG00000074431,13.0,0.833,0.475,0.327,4.71,8.88,0.321,0.522,0.138,5.0
ENSDARG00000074435,1.34,1.41,0.272,0.775,1.04,0.874,0.758,0.37,0.138,0.754
ENSDARG00000074441,0.18,1.6,0.103,0.266,7.52,0.0661,0.843,0.0424,0.0539,2.63
ENSDARG00000074442,0.0918,1.61,0.0613,0.0999,13.4,0.0291,0.117,0.0232,0.0115,1.81
